"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin,Lat,Long,Month,Day,Year
0.482,0.05500000000000001,0.059000000000000004,0.08500000000000002,0.016,0.028999999999999998,0.016999999999999998,0.007000000000000002,0.18799999999999997,18.3004,-21.0555,6.0,2.0,1992.0
1.248,0.0001,0.2770000000000001,0.24800000000000003,0.060999999999999985,0.3320000000000001,0.06399999999999999,0.10599999999999998,0.03899999999999999,20.3246,-18.3655,6.0,5.0,1992.0
1.517,0.0001,0.206,0.234,0.06500000000000002,0.636,0.05600000000000001,0.207,0.029999999999999995,20.361,-18.3414,6.0,6.0,1992.0
3.363,0.0001,5.7023500000000014e-05,0.13700000000000004,0.035,2.057,0.08500000000000002,6.000000000000003e-05,0.047999999999999994,20.3216,-18.3441,6.0,13.0,1997.0
1.325,0.0001,0.19200000000000003,0.288,0.052999999999999985,0.336,0.152,0.03200000000000001,0.174,18.3022,-21.0705,6.0,16.0,1992.0
1.022,0.0001,0.18300000000000002,0.20300000000000004,0.04299999999999999,0.616,0.09200000000000001,0.018999999999999996,0.202,18.2701,-21.1138,6.0,18.0,1992.0
0.040999999999999995,0.012000000000000002,5.7023500000000014e-05,0.010999999999999998,0.004000000000000001,0.004000000000000001,0.001,6.000000000000003e-05,0.029999999999999995,21.0448,-31.0884,6.0,21.0,1992.0
0.037,0.010999999999999998,0.0020000000000000005,0.010999999999999998,0.004000000000000001,0.003000000000000001,3.0286100000000032e-05,6.000000000000003e-05,0.027000000000000003,20.5918,-31.0845,6.0,23.0,1992.0
0.43,0.098,0.048999999999999995,0.06900000000000002,0.012000000000000002,0.023,0.013,0.004999999999999999,0.198,18.294,-21.0497,5.0,31.0,1992.0
0.30439413000000004,0.008510296999999997,0.034588972999999995,0.034585526000000005,0.019244975999999997,0.058518009999999995,0.017332026999999996,0.007345283999999996,0.006321693999999998,37.99833,4.558333,1.0,8.0,1995.0
0.13042873,0.029263378999999992,0.005911774999999999,0.019634177999999995,0.010551965,0.002601292,0.0022411039999999994,0.0012146510000000002,0.035099130000000006,35.80583,17.50167,1.0,12.0,1995.0
0.17499592,0.011897252,0.018041004000000003,0.042133554999999996,0.018109649000000002,0.01651405,0.003545632000000001,0.0040146769999999995,0.011469177999999998,35.50333,23.39,1.0,22.0,1995.0
0.05600000000000001,0.000761751574397707,0.021999999999999995,0.018,0.003000000000000001,0.029999999999999995,0.0020000000000000005,0.0020000000000000005,0.001,-58.0,62.01,3.0,2.0,1994.0
0.09100000000000001,0.002430306857982363,5.7023500000000014e-05,0.010999999999999998,0.0020000000000000005,0.05600000000000001,3.0286100000000032e-05,6.000000000000003e-05,0.0001,-63.07,70.23,2.0,20.0,1994.0
0.18922864,0.03187464000000001,0.01582811294,0.03318504,0.008739091765,0.028350917650000005,0.012404018819999998,0.0029299905879999998,0.023092263530000007,28.116666666666667,-115.63333333333334,8.0,23.0,2000.0
0.5044243,0.12354782010000001,0.05829635015000001,0.07525664681,0.02652716353,0.03983521459000001,0.005639139209999999,0.017669325229999998,0.2080845957,26.24,-114.055,8.0,23.0,2000.0
0.2021262,0.07637357580999998,0.01314036837,0.02778532464999999,0.0070514679069999964,0.01889835907,0.004025447441999999,0.0023562976739999993,0.04670393301999999,25.733333333333334,-113.6,8.0,23.0,2000.0
0.22653315,0.14539683350000002,0.008908788836999998,0.021323631629999996,0.007076773953000003,0.007959806512,0.0022828241860000007,0.0009903739530000004,0.07752293581,25.416666666666668,-113.31666666666666,8.0,23.0,2000.0
0.18293885,0.026200498600000004,0.013695103260000003,0.03804699907,0.007653934884000002,0.016512044650000002,3.0286100000000032e-05,0.005069023256,0.08053563907,24.916666666666668,-112.91666666666667,8.0,23.0,2000.0
0.29602434,0.1482914791,0.01677537488,0.05132289487999999,0.008926582325999998,0.012798385119999998,0.00558439814,6.000000000000003e-05,0.1106636093,24.633333333333333,-112.55,8.0,24.0,2000.0
0.37965313,0.301830374,0.020916502329999996,0.025107996279999996,0.008537681860000002,0.008018545116,0.0021651013949999997,6.000000000000003e-05,0.18636861770000002,23.966666666666665,-112.25,8.0,24.0,2000.0
0.42083536,0.3347163331,0.01894481133,0.04105858810000001,0.011799229459999998,0.008654671954999997,3.0286100000000032e-05,6.000000000000003e-05,0.1901809088,23.733333333333334,-112.06666666666666,8.0,24.0,2000.0
0.2799141600000001,0.2242128614,0.011903073489999999,0.02111207442,0.0059614660470000014,0.004831032558000002,3.0286100000000032e-05,6.000000000000003e-05,0.09132342698,22.483333333333334,-111.23333333333333,8.0,24.0,2000.0
0.31039495,0.2347311516,0.012386109769999999,0.03586774326000001,0.006680427907000001,0.004665153488000001,0.0039340799999999995,6.000000000000003e-05,0.08107399814,21.816666666666666,-110.8,8.0,24.0,2000.0
0.35629961,0.2900048149000001,0.01344870698,0.029934597210000004,0.006387851162999998,0.003919289301999999,0.0027109506979999995,6.000000000000003e-05,0.1296583926,21.483333333333334,-110.59666666666666,8.0,24.0,2000.0
0.3400826,0.2355693823,0.015505216739999998,0.06004810046999998,0.007898868837000004,0.0052439665120000015,0.004607709766999999,6.000000000000003e-05,0.111841306,20.983333333333334,-110.23333333333333,8.0,24.0,2000.0
0.25487809000000006,0.1869258195,0.01122463256,0.03848753860000001,0.004889681859999997,0.004411333953,0.004222772093,6.000000000000003e-05,0.10289594790000002,20.583333333333332,-109.98333333333333,8.0,25.0,2000.0
0.20431520000000003,0.1642547442,0.008275557209,0.0218771386,0.004385871627999998,0.002761294884000001,0.002851211162999999,6.000000000000003e-05,0.09096865116,20.066666666666666,-109.6,8.0,25.0,2000.0
0.20491028000000003,0.15744729489999998,0.009202638139999999,0.026006645580000008,0.004675825116,0.002419579534999999,0.0029914604650000017,6.000000000000003e-05,0.07053749581,19.816666666666666,-109.45,8.0,25.0,2000.0
0.38808633,0.3273792,0.016441250230000003,0.021183393490000004,0.0034354046510000017,0.0029306679070000004,0.0033363237210000006,6.000000000000003e-05,0.11518885950000002,18.55,-108.65,8.0,25.0,2000.0
0.40011519,0.3353943014,0.016515315349999997,0.022769547910000007,0.003843471628,0.0032255553490000014,0.008568524650999998,6.000000000000003e-05,0.1343092465,17.983333333333334,-108.31666666666666,8.0,25.0,2000.0
0.3957185,0.327021293,0.014870779530000003,0.025386999070000003,0.003467419534999998,0.0026431590699999997,0.004015445581,6.000000000000003e-05,0.13902228840000003,17.57,-108.00166666666667,8.0,25.0,2000.0
0.35227884,0.27844285950000003,0.01660537674,0.029460323720000004,0.004562623255999998,0.003425280000000002,0.005160111627999999,6.000000000000003e-05,0.10307228649999998,16.575,-106.53833333333333,8.0,26.0,2000.0
0.3602709,0.2578826288,0.018114418599999998,0.03486483348999999,0.004681573952999998,0.004379977674000001,0.008413060465,6.000000000000003e-05,0.1151369749,16.266666666666666,-105.98333333333333,8.0,26.0,2000.0
0.33071479,0.2502548018,0.015718789090000004,0.021609589090000002,0.0031215054549999987,0.003586800000000001,0.006554421818000002,6.000000000000003e-05,0.1313080036,16.033333333333335,-105.53333333333333,8.0,26.0,2000.0
0.32087968,0.23571971999999997,0.01599475636,0.027765218179999995,0.004137927273000002,0.005228705455000001,0.005844665455000001,6.000000000000003e-05,0.1386465055,15.776666666666667,-105.01333333333334,8.0,26.0,2000.0
0.25995414999999994,0.19550611640000004,0.01205842909,0.02361399272999999,0.004964738182000002,0.005230472727,0.004184989091000002,6.000000000000003e-05,0.12271457449999999,15.489166666666666,-104.45,8.0,27.0,2000.0
0.21224065000000003,0.1638114491,0.008516563635999997,0.018212280000000004,0.0034559127269999995,0.0034466290909999984,0.0046233054550000015,6.000000000000003e-05,0.1078360582,15.126333333333333,-103.72383333333333,8.0,27.0,2000.0
0.54622705,0.1720475018,0.017422930909999995,0.019587949090000004,0.0035555127270000013,0.004060450909000001,0.007067236364000001,6.000000000000003e-05,0.1319785309,14.3685,-102.24316666666667,8.0,27.0,2000.0
0.49291366,0.4249564691,0.01958060727,0.021306752730000003,0.004002949090999998,0.003940516364,0.009800378182,6.000000000000003e-05,0.1704835527,14.016666666666667,-101.55,8.0,27.0,2000.0
0.46960824999999995,0.3982700018,0.017344298180000002,0.025404818179999997,0.0036354000000000004,0.004402690909000001,0.0045203127269999996,6.000000000000003e-05,0.1857094473,13.8,-101.2,8.0,27.0,2000.0
0.54100524,0.4344838145,0.021113770910000003,0.04108487999999999,0.005753934544999999,0.006207916364,0.006790701818,6.000000000000003e-05,0.15983568000000004,13.55,-100.695,8.0,27.0,2000.0
0.41895415,0.22640661819999996,0.02436455385,0.04317057343,0.01077987133,0.021817186010000003,0.007441376224000002,6.000000000000003e-05,0.1763659524,13.290833333333333,-100.16683333333333,8.0,28.0,2000.0
0.5297137100000001,0.31028214689999994,0.03320210212000001,0.08231913324999998,0.020632572849999996,0.016814555419999995,0.007820981320000002,6.000000000000003e-05,0.1835165529,13.033333333333333,-99.68333333333334,8.0,28.0,2000.0
0.3160300300000001,0.20263869679999996,0.018392686450000004,0.037657889029999995,0.007841589677,0.011026172900000004,0.004155607742000002,6.000000000000003e-05,0.1100809239,12.934333333333333,-99.46683333333333,8.0,28.0,2000.0
0.38675331,0.24054333270000003,0.0192108,0.041287101820000005,0.008180498182000001,0.012353083639999998,0.006115069090999997,6.000000000000003e-05,0.09755833090999998,12.417,-98.486,8.0,28.0,2000.0
0.2889602600000001,0.06611414182000001,0.038515396359999995,0.10691123999999999,0.009693109091000001,0.012175363639999999,0.013846920000000002,6.000000000000003e-05,0.06012647999999999,12.133333333333333,-97.91666666666667,8.0,28.0,2000.0
0.27407993,0.0001,0.06211968120000001,0.1861054296,0.021112109590000004,0.04336556413,0.018098122040000005,6.000000000000003e-05,0.10577263260000001,11.963333333333333,-97.57633333333334,8.0,28.0,2000.0
0.38853216,0.04707326526,0.021276627650000005,0.2113071183,0.018503432130000004,0.030744448320000006,0.008272184309,6.000000000000003e-05,0.09875488917,11.714166666666667,-97.1045,8.0,28.0,2000.0
0.40633439,0.1674099754,0.023054104619999998,0.12866112,0.01299899077,0.016669193849999996,0.007260861538,6.000000000000003e-05,0.14420776620000003,11.455333333333334,-96.61833333333334,8.0,28.0,2000.0
0.88185287,0.6314921302,0.04880039441999999,0.11163065300000001,0.01248453209,0.013957864189999999,0.007504833488000003,6.000000000000003e-05,0.3134463181,11.216,-96.1465,8.0,29.0,2000.0
0.89525902,0.7229244563,0.05568740000000001,0.09086146250000002,0.012126600000000001,0.013398075,0.0065129875,6.000000000000003e-05,0.287398375,11.0905,-95.89866666666667,8.0,29.0,2000.0
0.41294934,0.08760930227999998,0.023182347339999996,0.1034743291,0.01096948253,0.1032189691,0.03260851442999999,6.000000000000003e-05,0.15380563440000003,10.405,-94.55783333333333,8.0,29.0,2000.0
0.42307142,0.08523389023000003,0.04417837395000001,0.1243602084,0.01953559814,0.03463168743999999,0.02089855256,6.000000000000003e-05,0.1735240409,10.066666666666666,-93.93333333333334,8.0,29.0,2000.0
0.36797061,0.015643557210000002,0.05240622140000001,0.12694859160000002,0.022272714420000006,0.04193742140000001,0.011923869770000001,6.000000000000003e-05,0.12432413020000001,9.998333333333333,-93.56066666666666,8.0,29.0,2000.0
0.50108295,0.04121111441999999,0.05250847255999999,0.25055475350000006,0.053972740470000016,0.06766126884,0.018104907909999995,6.000000000000003e-05,0.1514286809,9.5615,-92.98783333333333,8.0,29.0,2000.0
0.35976798,0.0072156061540000005,0.05552265846,0.1632948923,0.03819175385,0.05467148307999999,0.013227396920000002,6.000000000000003e-05,0.10165289850000002,9.266166666666667,-92.42266666666667,8.0,30.0,2000.0
0.4287481,0.0070508427910000015,0.01083413581,0.3430185377,0.019329577669999997,0.05247884651000001,0.007947147906999998,6.000000000000003e-05,0.04947891349000001,8.98,-91.87116666666667,8.0,30.0,2000.0
0.1614067,0.02281827342,0.022506318990000003,0.04509001518999999,0.007384708861,0.01033209114,0.011257032909999997,6.000000000000003e-05,0.1553063089,8.834833333333334,-91.58383333333333,8.0,30.0,2000.0
